ID,FORENAME,SURNAME,GENDER,YEAR
237,Pia,Engström,female,1964
238,Stefan,Gustafsson,male,2011
239,Anton,Ahmed,male,1989
240,Helen,Berg,female,1975
241,Stefan,Lund,male,1957
242,Ann-Marie,Magnusson,female,1963
243,Kevin,Jönsson,male,1966
244,Thomas,Ek,male,1956
245,Kjell,Sjögren,male,2015
246,Britt-Marie,Jonsson,female,2010
247,Marie,Bengtsson,female,1963
248,Elin,Wallin,female,1983
249,Caroline,Holm,female,2015
250,Hanna,Hansen,female,1994
251,Ulf,Lund,male,2015
252,Filip,Sandberg,male,2008
253,Ann-Christin,Hansen,female,1953
254,Göran,Claesson,male,1984
255,Gunnel,Dahl,female,1977
256,Mats,Håkansson,male,1983
257,Marcus,Henriksson,male,2018
258,Anton,Magnusson,male,1967
259,Amanda,Samuelsson,female,1953
260,Johnny,Magnusson,male,1999
261,Gunilla,Mattsson,female,1956
262,Lena,Viklund,female,1962
263,Jonathan,Mohamed,male,1985
264,Mohamed,Samuelsson,male,1958
265,Sven,Persson,male,1963
266,Tommy,Hermansson,male,1950
267,Carina,Holmberg,female,2005
268,Mats,Björk,male,1987
269,Klara,Svensson,female,2020
270,Niklas,Sandberg,male,1981
271,Elsa,Nordström,female,2018
272,Rebecca,Bergström,female,1999
273,Hanna,Sandström,female,1976
274,Kevin,Mattsson,male,2008
275,Pontus,Lund,male,1969
276,Christian,Holmberg,male,2010
277,Jakob,Hansen,male,2013
278,Ludvig,Falk,male,1954
279,Åke,Dahlberg,male,1957
280,Kerstin,Holmgren,female,2006
281,Lennart,Åkesson,male,1985
282,Elisabeth,Lundqvist,female,2014
283,Eva,Sundberg,female,1977
284,Johnny,Lindholm,male,1951
285,Jonathan,Åkesson,male,1954
286,Samuel,Gunnarsson,male,1951
287,Erika,Gustafsson,female,1963
288,Katarina,Mårtensson,female,2007
289,Yvonne,Dahl,female,1981
290,Johanna,Ek,female,2003
291,Marianne,Hermansson,female,1999
292,Charlotte,Samuelsson,female,2005
293,Albin,Öberg,male,1968
294,Charlotte,Holmberg,female,1981
295,Therese,Andreasson,female,1975
296,Yvonne,Öberg,female,2007
297,Emil,Björk,male,2001
298,Yvonne,Lindström,female,1994
299,Robert,Mohamed,male,1958
300,Katarina,Lundgren,female,2014
301,Rasmus,Björk,male,1966
302,Jesper,Björklund,male,1991
303,Charlotte,Axelsson,female,1972
304,Filip,Lundin,male,2003
305,Jessica,Hellström,female,1956
306,Felix,Mattsson,male,1963
307,Bengt,Sandström,male,2000
308,Madeleine,Sandberg,female,2020
309,Agnes,Olsson,female,1972
310,Marie,Nordin,female,1984
311,Sandra,Lindberg,female,2009
312,Anita,Sundberg,female,1990
313,Helena,Nilsson,female,1996
314,Sebastian,Sjöberg,male,1980
315,Yvonne,Jansson,female,1968
316,Daniel,Lind,male,1995
317,Karin,Bergqvist,female,1985
318,Christoffer,Nyström,male,1967
319,Astrid,Martinsson,female,1988
320,Josefin,Hassan,female,1959
321,Susanne,Hermansson,female,2019
322,Olof,Öberg,male,2020
323,Sebastian,Wallin,male,1953
324,Amanda,Nordin,female,1950
325,Linda,Olsson,female,1961
326,Mats,Sandberg,male,2018
327,Edvin,Gustafsson,male,2003
328,Frida,Abrahamsson,female,1951
329,Jenny,Bergqvist,female,1993
330,Malin,Hansson,female,1998
331,Nina,Isaksson,female,1983
332,David,Gustafsson,male,1965
333,Lovisa,Sjöberg,female,2017
334,Leif,Lundberg,male,2017
335,Stefan,Wikström,male,1965
336,Ulf,Ahmed,male,1975
337,Ann-Marie,Ekström,female,1983
338,Anette,Lund,female,1991
339,Oskar,Bengtsson,male,2020
340,Pernilla,Löfgren,female,2018
341,Sofia,Danielsson,female,2011
342,Gustav,Lundqvist,male,1978
343,Malin,Larsson,female,1998
344,Helen,Gunnarsson,female,1980
345,Christer,Ström,male,1954
346,Patrik,Holmgren,male,1972
347,Ulla,Nordin,female,2013
348,Carina,Martinsson,female,1977
349,Erika,Lundin,female,1952
350,Therese,Söderberg,female,1966
351,Gustav,Olofsson,male,1955
352,Isabelle,Löfgren,female,1998
353,Göran,Danielsson,male,1965
354,Karl,Lund,male,1975
355,Nathalie,Löfgren,female,2007
356,Jenny,Svensson,female,2017
357,Maria,Bengtsson,female,1950
358,Helen,Olofsson,female,2003
359,Daniel,Lund,male,1992
360,Johan,Andersson,male,2020
361,Wilma,Hellström,female,2017
362,Anders,Sundberg,male,1990
363,Mats,Berggren,male,1987
364,Agneta,Olofsson,female,2009
365,Ann-Christin,Berg,female,1995
366,Ann,Håkansson,female,2020
367,Henrik,Berg,male,2004
368,Mikael,Söderberg,male,1970
369,Olof,Nilsson,male,1988
370,Jenny,Isaksson,female,1984
371,Johanna,Jakobsson,female,1954
372,Dennis,Engström,male,1965
373,Mona,Dahlberg,female,2011
374,Håkan,Sjöberg,male,2014
375,Jan,Sundberg,male,1951
376,Niklas,Söderberg,male,1969
377,Linn,Nilsson,female,1966
378,John,Jonasson,male,1966
379,Elias,Ek,male,1970
380,Daniel,Hedlund,male,1979
381,Birgit,Fredriksson,female,1988
382,Anders,Holmgren,male,1958
383,Sven,Hansen,male,1961
384,Louise,Nordin,female,1994
385,Axel,Jonsson,male,2016
386,Ann,Samuelsson,female,2020
387,Kerstin,Eriksson,female,2013
388,Johan,Jakobsson,male,1976
389,Lennart,Björk,male,2015
390,Mona,Forsberg,female,1992
391,Ann-Marie,Hellström,female,1976
392,Alexander,Söderberg,male,1959
393,Åke,Lindqvist,male,1985
394,Niklas,Jonsson,male,1974
395,Niklas,Löfgren,male,2013
396,Amanda,Berglund,female,1955
397,Adam,Berggren,male,1995
398,Sven,Lundqvist,male,1968
399,Malin,Strömberg,female,1980
400,Emil,Sandström,male,1979
401,Andreas,Löfgren,male,2017
402,Rolf,Månsson,male,1991
403,Viktoria,Lundin,female,1971
404,Edvin,Berggren,male,2009
405,Christer,Andreasson,male,1951
406,Julia,Björk,female,1996
407,Isak,Arvidsson,male,2004
408,Elias,Berg,male,1965
409,Mattias,Lind,male,1983
410,Ludvig,Forsberg,male,1957
411,Klara,Andreasson,female,1972
412,Agnes,Sundberg,female,1964
413,Niklas,Bergman,male,2002
414,Isabelle,Holm,female,1990
415,Henrik,Eriksson,male,1969
416,Lisbeth,Norberg,female,2005
417,Alva,Axelsson,female,1971
418,William,Jönsson,male,1979
419,Pernilla,Hedlund,female,2007
420,Marcus,Ström,male,1976
421,Joel,Samuelsson,male,1963
422,Leo,Henriksson,male,2012
423,Mohamed,Hassan,male,1955
424,Erik,Sundberg,male,1971
425,Edvin,Axelsson,male,1996
426,Birgitta,Berggren,female,1958
427,Johnny,Lundgren,male,1991
428,Samuel,Abrahamsson,male,2003
429,Cecilia,Lundin,female,1966
430,Lovisa,Berggren,female,1971
431,Bo,Engström,male,2016
432,Mattias,Johansson,male,1988
433,Britt-Marie,Hermansson,female,1996
434,Jesper,Karlsson,male,1997
435,Emelie,Dahl,female,1970
436,Malin,Bengtsson,female,1997
437,Josef,Hedlund,male,2010
438,Marianne,Isaksson,female,1981
439,Åke,Berg,male,2013
440,Olle,Johansson,male,1993
441,Siv,Lundqvist,female,1983
442,Mohamed,Björk,male,2015
443,Moa,Berglund,female,1972
444,Åsa,Lind,female,1961
445,Jonas,Hellström,male,1972
446,Linus,Lundin,male,1963
447,Britt,Sjögren,female,1965
448,Sebastian,Holmberg,male,1971
449,Alva,Lindström,female,1958
450,Yvonne,Ekström,female,2018
451,Louise,Sandström,female,1991
452,Kjell,Lund,male,1993
453,Kurt,Jonsson,male,2018
454,Marianne,Arvidsson,female,1972
455,Claes,Nordström,male,1963
456,Britt,Eriksson,female,2020
457,Sonja,Gustafsson,female,2002
458,Kenneth,Bergqvist,male,1982
459,Fredrik,Dahl,male,1981
460,Jörgen,Wallin,male,2015
461,Jonathan,Löfgren,male,2009
462,Sofie,Fransson,female,1972
463,Mikael,Ali,male,1966
464,Ella,Holm,female,1995
465,Astrid,Norberg,female,2017
466,Linn,Lindqvist,female,1999
467,Gun,Fransson,female,1984
468,Agneta,Håkansson,female,1973
469,Mikael,Eklund,male,1991
470,Erika,Olsson,female,2020
471,Anders,Hassan,male,1987
472,Lovisa,Blom,female,2011
473,Mikael,Blomqvist,male,1954
474,Per,Fransson,male,1959
475,Erik,Holm,male,1980
476,Jenny,Larsson,female,1991
477,Amanda,Danielsson,female,1968
478,Olof,Hermansson,male,1972
479,Leo,Bengtsson,male,1985
480,Gunnar,Lindgren,male,1963
481,Jessica,Gustafsson,female,2011
482,John,Björk,male,1969
483,Peter,Blomqvist,male,2001
484,Helena,Falk,female,2007
485,Stefan,Sandberg,male,2013
486,Sofie,Lundqvist,female,1979
487,Isabelle,Samuelsson,female,1982
488,Johan,Sandberg,male,1989
489,Pernilla,Hansson,female,1985
490,Stefan,Berg,male,1986
491,Anton,Sjögren,male,1988
492,William,Lundgren,male,1958
493,Mohamed,Lindgren,male,1997
494,Alva,Mattsson,female,2005
495,Mats,Axelsson,male,1961
496,Håkan,Nyberg,male,2017
497,Britt,Pettersson,female,2010
498,Marianne,Björk,female,1978
499,Katarina,Söderberg,female,1987
500,David,Falk,male,1985
501,Britt,Viklund,female,1987
502,Kristina,Henriksson,female,1989
503,Anette,Wallin,female,1961
504,Linda,Håkansson,female,1995
505,Dennis,Lundström,male,1973
506,Filip,Eriksson,male,1968
507,Jan,Johansson,male,2008
508,Elias,Holm,male,1957
509,Gunilla,Danielsson,female,1966
510,Fredrik,Fredriksson,male,2019
511,Andreas,Ali,male,1969
512,Maja,Sandberg,female,2006
513,Helen,Henriksson,female,1987
514,Jonas,Lundqvist,male,1988
515,Robin,Björk,male,1978
516,Sven,Isaksson,male,1975
517,Felix,Olofsson,male,1969
518,Josef,Lundqvist,male,1956
519,Oskar,Lundberg,male,1962
520,Anneli,Falk,female,1965
521,Jesper,Wikström,male,2019
522,Björn,Lundin,male,1983
523,Christer,Arvidsson,male,2019
524,Emilia,Ekström,female,1956
525,Andreas,Strömberg,male,2002
526,Jesper,Månsson,male,2019
527,Agneta,Eliasson,female,1984
528,Rickard,Olsson,male,2018
529,Lennart,Hedlund,male,1954
530,Olle,Sjögren,male,1952
531,Frida,Bergström,female,1956
532,Linda,Björk,female,1991
533,Emelie,Hellström,female,1980
534,Elisabeth,Gustafsson,female,1975
535,Emma,Ekström,female,1994
536,Jimmy,Björk,male,2011
537,Linnéa,Arvidsson,female,1962
538,Klara,Håkansson,female,1977
539,Helen,Björk,female,1972
540,Lina,Fransson,female,1955
541,Dan,Norberg,male,1991
542,Pernilla,Holm,female,1960
543,Helena,Jonasson,female,1954
544,Klara,Lind,female,1997
545,Sonja,Pettersson,female,2008
546,Nina,Wikström,female,1997
547,Wilma,Claesson,female,1995
548,Åke,Ali,male,2011
549,Nils,Ahmed,male,1950
550,Marie,Håkansson,female,1963
551,Johanna,Ström,female,1953
552,Stig,Söderberg,male,1995
553,Isak,Öberg,male,2003
554,Anette,Lindström,female,1952
555,Håkan,Eliasson,male,1997
556,Mikael,Pettersson,male,1984
557,Alexandra,Jansson,female,1965
558,Daniel,Lindgren,male,1954
559,Kurt,Persson,male,1995
560,Gun,Björklund,female,1974
561,Kjell,Löfgren,male,1962
562,Alva,Lindholm,female,1981
563,Mats,Henriksson,male,2003
564,Kerstin,Håkansson,female,2016
565,Ella,Löfgren,female,1982
566,Birgit,Magnusson,female,1958
567,Rut,Nyström,female,1993
568,Emilia,Sjöberg,female,2006
569,Maria,Åberg,female,1997
570,Jesper,Ek,male,1984
571,Rolf,Öberg,male,1978
572,Sara,Olsson,female,1998
573,Anette,Nilsson,female,2007
574,Olivia,Ek,female,1959
575,Linus,Larsson,male,1981
576,Bo,Martinsson,male,1974
577,Ulla,Pålsson,female,2001
578,Kristina,Nyström,female,2015
579,Jimmy,Åberg,male,1994
580,Monica,Dahlberg,female,1988
581,Caroline,Bengtsson,female,1983
582,Barbro,Claesson,female,1990
583,Nils,Bergström,male,1957
584,Emelie,Axelsson,female,1971
585,Torbjörn,Lundqvist,male,1997
586,Linnéa,Lindholm,female,1998
587,Christian,Ström,male,1987
588,Monica,Fredriksson,female,2014
589,Niklas,Engström,male,1978
590,Andreas,Wikström,male,1982
591,Jimmy,Fredriksson,male,1959
592,Anton,Sundberg,male,1991
593,Jessica,Berg,female,1995
594,Robin,Lindström,male,1975
595,Marianne,Jönsson,female,1987
596,Filip,Viklund,male,1950
597,Sebastian,Söderberg,male,1950
598,Sara,Isaksson,female,1998
599,Anneli,Nordin,female,1987
600,Elisabeth,Isaksson,female,1974
601,Frida,Henriksson,female,1971
602,Kent,Larsson,male,1960
603,Magnus,Svensson,male,2011
604,Stig,Gunnarsson,male,1963
605,Pia,Nyström,female,1975
606,Eva,Viklund,female,1950
607,Karin,Norberg,female,1997
608,Berit,Johansson,female,2009
609,Oskar,Lundström,male,1957
610,Jessica,Eliasson,female,1961
611,Liam,Sjögren,male,1973
612,Marie,Berggren,female,1996
613,Ann,Strömberg,female,2014
614,Simon,Jonasson,male,1990
615,Göran,Hansson,male,1992
616,Lucas,Nyberg,male,1968
617,Gunnar,Svensson,male,2015
618,Arne,Lundberg,male,1993
619,Simon,Söderberg,male,1950
620,Ann-Marie,Andersson,female,2020
621,Madeleine,Holm,female,2016
622,Jan,Hansson,male,1950
623,Rut,Nordström,female,1999
624,Gunnar,Gustafsson,male,1952
625,Claes,Mattsson,male,2013
626,Max,Sundberg,male,2010
627,Gunnar,Lund,male,1997
628,Jonas,Norberg,male,2009
629,Niklas,Blomqvist,male,1971
630,Martin,Olofsson,male,2002
631,Jan,Björklund,male,1987
632,Britt,Lundin,female,2010
633,Bo,Lundgren,male,1979
634,Ellen,Jönsson,female,1997
635,Kurt,Magnusson,male,1959
636,Gun,Lindberg,female,1983
637,Matilda,Johansson,female,1976
638,Ann-Christin,Bergman,female,1955
639,Karl,Forsberg,male,1995
640,Leif,Olsson,male,1975
641,Olivia,Lundgren,female,1971
642,Britt,Svensson,female,1956
643,Martin,Bengtsson,male,1978
644,Alva,Hermansson,female,1985
645,Elisabeth,Hellström,female,1986
646,Linn,Jakobsson,female,2015
647,Simon,Blom,male,1978
648,Robert,Sjöberg,male,2003
649,Mona,Berglund,female,2001
650,Helen,Lundgren,female,1996
651,Viktoria,Gustafsson,female,2010
652,Kenneth,Lundqvist,male,1994
653,Felix,Magnusson,male,1960
654,Jakob,Eklund,male,1975
655,David,Andersson,male,2010
656,Erik,Mårtensson,male,2013
657,Jakob,Månsson,male,1979
658,Sara,Lindqvist,female,1977
659,Linnéa,Ahmed,female,1964
660,David,Mattsson,male,1964
661,Pia,Hansson,female,1995
662,Christoffer,Persson,male,2007
663,Margareta,Bergqvist,female,2006
664,Anton,Nordin,male,2006
665,Kristina,Lundqvist,female,1992
666,Tobias,Hermansson,male,2017
667,Nina,Sjögren,female,1958
668,Moa,Löfgren,female,1954
669,Siv,Dahl,female,2018
670,Olle,Hansen,male,1962
671,Jörgen,Söderberg,male,1978
672,Anders,Sandström,male,2000
673,Anton,Berggren,male,1951
674,Jesper,Lundström,male,2007
675,Tommy,Jakobsson,male,1987
676,Susanne,Holmgren,female,1964
677,Alva,Andersson,female,1951
678,Emilia,Henriksson,female,2016
679,Siv,Falk,female,1984
680,Annika,Berggren,female,1963
681,Ebba,Lindholm,female,1978
682,Kenneth,Jonasson,male,1973
683,Bo,Karlsson,male,1965
684,Emil,Olofsson,male,1974
685,Kristina,Holmgren,female,1984
686,Madeleine,Pettersson,female,2009
687,Sofie,Pettersson,female,1952
688,Hanna,Forsberg,female,1963
689,Monica,Ekström,female,2003
690,Kjell,Söderberg,male,1985
691,Dennis,Arvidsson,male,1987
692,Jessica,Söderberg,female,1954
693,Moa,Andreasson,female,1972
694,Cecilia,Jönsson,female,2018
695,Hanna,Lindberg,female,1950
696,Linus,Jakobsson,male,1980
697,Madeleine,Lundström,female,1971
698,Josefin,Holmberg,female,1974
699,Jessica,Wallin,female,1950
700,Axel,Samuelsson,male,1970
701,Mohamed,Pålsson,male,1987
702,Stefan,Hassan,male,1976
703,Ludvig,Lindholm,male,2003
704,Mohamed,Sandström,male,2017
705,Matilda,Lindström,female,2014
706,Pontus,Lindqvist,male,2013
707,Mikael,Hellström,male,2001
708,Magnus,Sjögren,male,2018
709,Lena,Eriksson,female,1999
710,Carina,Blom,female,1956
711,Viktor,Andreasson,male,1997
712,David,Berggren,male,2010
713,Magnus,Fransson,male,2020
714,Elias,Persson,male,1966
715,Kristina,Bengtsson,female,2016
716,Jimmy,Jansson,male,1979
717,Roger,Dahlberg,male,1994
718,Rebecca,Hellström,female,1985
719,Britt,Eliasson,female,1999
720,Rolf,Blom,male,2005
721,Elin,Abrahamsson,female,1996
722,Kerstin,Nyström,female,2019
723,Ann-Christin,Ahmed,female,2007
724,Rebecca,Ström,female,1975
725,Magnus,Persson,male,1982
726,Caroline,Månsson,female,1955
727,William,Danielsson,male,1954
728,Rasmus,Nordin,male,1974
729,Lina,Fredriksson,female,1986
730,Gustav,Mohamed,male,2012
731,Samuel,Norberg,male,1975
732,Joel,Lundqvist,male,2008
733,Eva,Berg,female,2012
734,Emma,Lindgren,female,1989
735,Ida,Holmberg,female,1961
736,Kurt,Norberg,male,2009
737,Nathalie,Lundin,female,1998
738,Ella,Lindgren,female,1967
739,Lovisa,Gunnarsson,female,2016
740,Lisbeth,Björk,female,1963
741,Rasmus,Bergström,male,1996
742,Nils,Berglund,male,1976
743,Jörgen,Åberg,male,1986
744,Nils,Sjöberg,male,1996
745,Pernilla,Viklund,female,1991
746,Thomas,Danielsson,male,1964
747,Olle,Olofsson,male,1962
748,Rebecca,Viklund,female,1950
749,Jesper,Hansen,male,1964
750,Emilia,Hermansson,female,2005
751,Leo,Holmberg,male,2019
752,Christoffer,Ali,male,1988
753,Joel,Mohamed,male,2016
754,Göran,Sundberg,male,1968
755,Moa,Jonsson,female,1994
756,Barbro,Pålsson,female,1987
757,Ann,Eklund,female,2014
758,Robert,Ali,male,2000
759,Charlotte,Nordström,female,1956
760,Arne,Nordström,male,1965
761,Stig,Lindström,male,1954
762,Ellen,Hermansson,female,2003
763,Linus,Hansen,male,1986
764,Madeleine,Lindberg,female,1958
765,Linda,Johansson,female,2010
766,Martin,Mattsson,male,1956
767,Johnny,Bergström,male,1983
768,Ella,Lindqvist,female,2018
769,Ludvig,Norberg,male,2011
770,Henrik,Sandström,male,1994
771,Moa,Holmgren,female,1986
772,Caroline,Öberg,female,1978
773,Felix,Lind,male,1964
774,Gunnel,Gunnarsson,female,2000
775,Adam,Lundberg,male,1956
776,Göran,Pettersson,male,2010
777,Olle,Lindholm,male,1976
778,Robin,Lund,male,2014
779,Ludvig,Månsson,male,1969
780,Sven,Mohamed,male,1999
781,Lovisa,Karlsson,female,2017
782,Sofie,Nilsson,female,2014
783,Olle,Nordin,male,1997
784,Erik,Hermansson,male,1994
785,Kjell,Eliasson,male,1981
786,Susanne,Nyström,female,2014
787,Peter,Arvidsson,male,1957
788,Lisa,Håkansson,female,1985
789,Maria,Andersson,female,2009
790,Liam,Håkansson,male,1981
791,Bo,Nyström,male,1998
792,Emma,Hansen,female,1952
793,Edvin,Öberg,male,1964
794,Roger,Holm,male,1986
795,Inger,Hedlund,female,2010
796,Christer,Mårtensson,male,2019
797,Edvin,Larsson,male,1956
798,Margareta,Berg,female,2016
799,John,Gustafsson,male,1995
800,Mats,Jakobsson,male,1992
801,Martin,Andreasson,male,1984
802,Jonathan,Blomqvist,male,1991
803,Malin,Nyberg,female,1996
804,Isak,Björk,male,1965
805,Andreas,Ekström,male,1995
